date,price_cny_per_kg,source_date,source_url,method,note
2024/1/1,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/2,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/3,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/4,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,reported,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/5,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/6,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/8,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/9,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/10,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/11,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/12,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/13,273,2024/1/4,https://www.ctia.net.cn/news/tungsten/1711.html,carry_forward,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/15,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,reported,
2024/1/16,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/17,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/18,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/19,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/20,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/22,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/23,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/24,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/25,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/26,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/27,273,2024/1/15,https://www.ctia.com.cn/news/102715.html,carry_forward,
2024/1/29,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,reported,
2024/1/30,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,carry_forward,
2024/1/31,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,carry_forward,
2024/2/1,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,carry_forward,
2024/2/2,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,carry_forward,
2024/2/3,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,carry_forward,
2024/2/5,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,carry_forward,
2024/2/6,273,2024/1/29,https://www.ctia.com.cn/news/103109.html,carry_forward,
