date,price_cny_per_kg,source_url,note
2024/1/4,273,https://www.ctia.net.cn/news/tungsten/1711.html,earliest public 2024-01 quote found; carried back to 2024-01-01
2024/1/15,273,https://www.ctia.com.cn/news/102715.html,
2024/1/29,273,https://www.ctia.com.cn/news/103109.html,
2024/2/18,275,https://ctia.net.cn/news/tungsten/1720.html,
2024/2/26,276,https://www.ctia.com.cn/news/103651.html,
2024/3/4,278,https://www.ctia.com.cn/news/103871.html,
2024/3/7,279,https://www.ctia.com.cn/news/104056.html,
2024/3/11,280,https://www.ctia.com.cn/news/104081.html,
2024/3/18,280,https://www.ctia.com.cn/news/104311.html,
2024/3/27,281,https://www.ctia.com.cn/news/104630.html,
2024/3/28,281,https://www.ctia.com.cn/news/104728.html,
2024/4/2,283,https://www.ctia.com.cn/news/104846.html,
2024/4/3,283,https://www.ctia.com.cn/news/104904.html,
2024/4/8,285,https://www.ctia.com.cn/news/105059.html,
2024/4/10,286,https://www.ctia.com.cn/news/105135.html,
2024/4/24,300,https://www.ctia.com.cn/news/105490.html,30 wan CNY/tonne normalized
2024/5/6,311,https://www.ctia.com.cn/news/105684.html,
2024/5/15,338,https://www.ctia.com.cn/news/106056.html,33.8 wan CNY/tonne normalized
2024/5/28,340,https://www.ctia.net.cn/news/tungsten/1793.html,34 wan CNY/tonne normalized
2024/5/29,340,https://www.ctia.com.cn/news/106456.html,34 wan CNY/tonne normalized
2024/6/3,340,https://www.ctia.com.cn/news/106585.html,34 wan CNY/tonne normalized
2024/6/5,339,https://www.ctia.com.cn/news/106677.html,33.9 wan CNY/tonne normalized
2024/6/12,338,https://www.ctia.com.cn/news/106879.html,33.8 wan CNY/tonne normalized
2024/6/19,333,https://www.ctia.com.cn/news/107045.html,
2024/6/27,326,https://www.ctia.com.cn/news/107382.html,article unit typo normalized as 32.6 wan CNY/tonne
2024/7/1,323,https://www.ctia.com.cn/news/107461.html,32.3 wan CNY/tonne normalized
2024/7/4,317,https://www.ctia.com.cn/news/107629.html,31.7 wan CNY/tonne normalized
2024/7/10,312,https://www.ctia.com.cn/news/107782.html,31.2 wan CNY/tonne normalized
2024/7/23,304,https://www.ctia.com.cn/news/108180.html,
2024/8/21,307,https://www.ctia.com.cn/news/109457.html,
2024/9/11,311,https://www.ctia.com.cn/news/110441.html,
2024/10/15,311,https://www.ctia.com.cn/news/111380.html,
2024/10/21,311,https://www.ctia.com.cn/news/111580.html,
2024/10/25,311,https://www.ctia.com.cn/news/111763.html,
2024/11/1,312,https://www.ctia.com.cn/news/112053.html,
2024/11/11,315,https://www.ctia.com.cn/news/112326.html,
2024/11/12,316,https://www.ctia.com.cn/news/112366.html,
2024/11/14,316,https://www.ctia.com.cn/news/112443.html,
2024/11/15,316,https://www.ctia.com.cn/news/112515.html,
2024/11/20,317,https://www.ctia.com.cn/news/112666.html,
2024/11/25,319,https://www.ctia.com.cn/news/112795.html,
2024/11/27,319,https://www.ctia.com.cn/news/112853.html,
2024/12/2,318,https://www.ctia.com.cn/news/113076.html,
2024/12/20,316,https://ctia.net.cn/news/tungsten/1853.html,
2025/1/14,318,https://www.ctia.com.cn/news/114553.html,
2025/1/15,318,https://www.ctia.com.cn/news/114576.html,
2025/1/17,318,https://www.ctia.com.cn/news/114652.html,
2025/1/20,318,https://www.ctia.com.cn/news/114703.html,
2025/1/23,320,https://www.ctia.com.cn/news/114853.html,
2025/1/24,320,https://www.ctia.com.cn/news/114865.html,
2025/2/7,320,https://www.ctia.com.cn/news/115049.html,
2025/2/20,318,https://www.ctia.com.cn/news/115508.html,
2025/2/27,317,https://www.ctia.com.cn/news/115755.html,
2025/3/5,315,https://www.ctia.com.cn/news/115992.html,
2025/3/18,312,https://www.ctia.com.cn/news/116404.html,
2025/3/27,313,https://www.ctia.com.cn/news/116820.html,
2025/4/2,315,https://www.ctia.com.cn/news/116958.html,
2025/4/17,319,https://www.ctia.com.cn/news/117597.html,
2025/4/27,326,https://www.ctia.com.cn/news/117909.html,
2025/5/15,348,https://www.ctia.com.cn/news/118494.html,
2025/5/26,360,https://www.ctia.com.cn/news/118742.html,
2025/5/29,366,https://www.ctia.com.cn/news/118933.html,
2025/6/3,370,https://www.ctia.com.cn/news/119034.html,
2025/6/4,372,https://www.ctia.com.cn/news/119111.html,
2025/6/9,378,https://www.ctia.com.cn/news/119384.html,
2025/7/9,381,https://www.ctia.com.cn/news/120466.html,
2025/7/30,430,https://www.ctia.com.cn/news/121075.html,
2025/8/12,438,https://www.ctia.com.cn/news/121540.html,
2025/8/14,445,https://www.ctia.com.cn/news/121790.html,
2025/8/21,485,https://www.ctia.com.cn/news/121880.html,
2025/8/28,570,https://www.ctia.com.cn/news/122055.html,
2025/9/2,615,https://www.ctia.com.cn/news/122132.html,
2025/9/8,640,https://www.ctia.com.cn/news/122313.html,
2025/9/23,620,https://www.ctia.com.cn/news/122886.html,backsolved from high pullback and year-to-date gain context
2025/10/11,625,https://www.ctia.com.cn/news/123189.html,
2025/10/30,650,https://www.ctia.com.cn/news/123829.html,
2025/11/19,770,https://www.ctia.com.cn/news/124623.html,
2025/11/27,790,https://www.ctia.com.cn/news/124798.html,
2025/12/8,840,https://www.ctia.com.cn/news/125069.html,
2025/12/23,1080,https://www.ctia.com.cn/news/125660.html,
2025/12/29,1080,https://www.ctia.com.cn/news/125784.html,
2026/1/6,1100,https://www.ctia.com.cn/news/126055.html,
2026/1/9,1150,https://www.ctia.com.cn/news/126232.html,115 wan CNY/tonne normalized
2026/1/13,1170,https://www.ctia.com.cn/news/126311.html,
2026/1/14,1190,https://www.ctia.com.cn/news/126330.html,
2026/1/16,1210,https://www.ctia.com.cn/news/126563.html,
2026/1/21,1240,https://www.ctia.com.cn/news/126863.html,
2026/1/23,1270,https://www.ctia.com.cn/news/126887.html,
2026/1/30,1480,https://www.ctia.com.cn/news/127143.html,148 wan CNY/tonne normalized
2026/2/10,1700,https://www.ctia.com.cn/news/127360.html,
2026/2/27,1880,https://www.ctia.com.cn/news/127673.html,
2026/3/9,2210,https://www.ctia.com.cn/news/127998.html,
2026/3/12,2400,https://www.ctia.com.cn/news/128118.html,
